,id,name,symbol,current_price,market_cap,total_volume
0,0,bitcoin,btc,95531.0,1897194495269.0,13489214441.0
1,1,ethereum,eth,1831.89,221172292220.0,7557636709.0
2,2,tether,usdt,1.0,149362066568.0,12146786033.0
3,3,ripple,xrp,2.19,128135084350.0,1305868334.0
4,4,binancecoin,bnb,593.26,86545876493.0,418556891.0
5,5,solana,sol,145.78,75469595253.0,1801774688.0
6,6,usd-coin,usdc,0.999901,61497808338.0,3363861330.0
7,7,dogecoin,doge,0.174155,25955482429.0,549682657.0
8,8,cardano,ada,0.69021,24858089353.0,887160922.0
9,9,tron,trx,0.247239,23472787838.0,450303644.0
10,10,staked-ether,steth,1831.15,16788357106.0,5997864.0
11,11,wrapped-bitcoin,wbtc,95384.0,12285979208.0,138540977.0
12,12,sui,sui,3.25,10837610277.0,1052247559.0
13,13,chainlink,link,14.06,9238680717.0,223430408.0
14,14,avalanche-2,avax,20.13,8397080388.0,171863479.0
15,15,leo-token,leo,9.05,8355336135.0,2120121.0
16,16,stellar,xlm,0.268492,8303333600.0,117786177.0
17,17,usds,usds,1.0,7923270211.0,7390635.0
18,18,the-open-network,ton,3.1,7721755459.0,80505135.0
19,19,wrapped-steth,wsteth,2196.56,7614708553.0,17878931.0
20,20,shiba-inu,shib,1.292e-05,7607741352.0,110922544.0
21,21,hedera-hashgraph,hbar,0.178871,7552778466.0,109864975.0
22,22,bitcoin-cash,bch,357.85,7106936898.0,147477843.0
23,23,hyperliquid,hype,20.89,6976668168.0,92497401.0
24,24,litecoin,ltc,86.18,6532054876.0,207931181.0
25,25,polkadot,dot,3.97,6031950954.0,117336717.0
26,26,weth,weth,1832.32,5251423033.0,154644366.0
27,27,binance-bridged-usdt-bnb-smart-chain,bsc-usd,1.0,5185946472.0,70652438.0
28,28,bitget-token,bgb,4.33,5067649979.0,65859589.0
29,29,monero,xmr,270.16,4984960088.0,99174822.0
30,30,ethena-usde,usde,1.001,4686678774.0,38951265.0
31,31,pi-network,pi,0.592122,4169878933.0,80880930.0
32,32,wrapped-eeth,weeth,1952.76,4127585702.0,6172200.0
33,33,whitebit,wbt,28.58,4119026954.0,9078850.0
34,34,coinbase-wrapped-btc,cbbtc,95495.0,4081676214.0,128981152.0
35,35,pepe,pepe,8.23e-06,3461183360.0,421482336.0
36,36,dai,dai,0.99986,3271731504.0,59998763.0
37,37,aptos,apt,5.15,3196418622.0,86725842.0
38,38,susds,susds,1.05,3100330759.0,5538555.0
39,39,okb,okb,51.3,3078023290.0,3062095.0
40,40,uniswap,uni,5.09,3052260282.0,118607462.0
41,41,bittensor,tao,350.21,3046907186.0,72227598.0
42,42,near,near,2.38,2883035635.0,111688928.0
43,43,blackrock-usd-institutional-digital-liquidity-fund,buidl,1.0,2878680374.0,0.0
44,44,ondo-finance,ondo,0.869767,2747838155.0,92571838.0
45,45,gatechain-token,gt,21.55,2648296572.0,3801941.0
46,46,aave,aave,174.91,2640586997.0,213306047.0
47,47,internet-computer,icp,4.67,2486353709.0,44588415.0
48,48,ethereum-classic,etc,16.3,2474083163.0,42763229.0
49,49,tokenize-xchange,tkx,30.89,2471024217.0,19519656.0
50,50,mantle,mnt,0.733668,2468543700.0,88033263.0
51,51,crypto-com-chain,cro,0.088816,2443287840.0,17244464.0
52,52,kaspa,kas,0.091004,2370408086.0,59231649.0
53,53,render-token,render,4.4,2275534408.0,145782413.0
54,54,official-trump,trump,11.17,2233381100.0,1025470716.0
55,55,vechain,vet,0.0255766,2199245415.0,28179196.0
56,56,usd1-wlfi,usd1,0.99898,2127315971.0,11244277.0
57,57,ethena-staked-usde,susde,1.17,2049806175.0,28772737.0
58,58,polygon-ecosystem-token,pol,0.230379,2020502867.0,45873732.0
59,59,lombard-staked-btc,lbtc,95292.0,1921000478.0,3948215.0
60,60,cosmos,atom,4.15,1856456079.0,70512430.0
61,61,fasttoken,ftn,4.29,1844727940.0,53853312.0
62,62,fetch-ai,fet,0.685386,1785114472.0,89592520.0
63,63,filecoin,fil,2.64,1749302778.0,93336595.0
64,64,algorand,algo,0.203385,1747845661.0,43195442.0
65,65,sonic-3,s,0.526663,1672140575.0,84308963.0
66,66,ethena,ena,0.289894,1608539715.0,68423017.0
67,67,jupiter-perpetuals-liquidity-provider-token,jlp,4.09,1521369618.0,20594465.0
68,68,arbitrum,arb,0.317067,1508205281.0,110743407.0
69,69,celestia,tia,2.41,1499792353.0,51452399.0
70,70,solv-btc,solvbtc,95321.0,1488552799.0,878903.0
71,71,first-digital-usd,fdusd,0.999044,1471021219.0,1476136214.0
72,72,kucoin-shares,kcs,10.72,1335748195.0,26896.0
73,73,maker,mkr,1522.33,1269529220.0,44590297.0
74,74,nexo,nexo,1.26,1258960240.0,11008096.0
75,75,worldcoin-wld,wld,0.942332,1246278829.0,133975621.0
76,76,jupiter-exchange-solana,jup,0.429481,1244695238.0,31917972.0
77,77,bonk,bonk,1.609e-05,1243956449.0,124278878.0
78,78,quant-network,qnt,85.31,1240888756.0,22986404.0
79,79,flare-networks,flr,0.01940626,1224424464.0,22155155.0
80,80,binance-staked-sol,bnsol,152.9,1187680765.0,1005079.0
81,81,blockstack,stx,0.777857,1184697502.0,35825534.0
82,82,xdce-crowd-sale,xdc,0.073393,1152660610.0,28860944.0
83,83,optimism,op,0.682277,1130235676.0,94840781.0
84,84,binance-peg-weth,weth,1832.25,1108190927.0,22332725.0
85,85,fartcoin,fartcoin,1.094,1093938287.0,104233616.0
86,86,eos,eos,0.706926,1072519719.0,119476725.0
87,87,virtual-protocol,virtual,1.63,1064396188.0,270269797.0
88,88,sei-network,sei,0.205405,1048802529.0,41498413.0
89,89,kelp-dao-restaked-eth,rseth,1907.12,1048133785.0,2478263.0
90,90,usdt0,usdt0,1.0,1037879330.0,95913186.0
91,91,immutable-x,imx,0.561014,1019487016.0,33354830.0
92,92,story-2,ip,3.67,989611190.0,29904038.0
93,93,paypal-usd,pyusd,0.999863,941513327.0,20108881.0
94,94,curve-dao-token,crv,0.696202,931856675.0,93966670.0
95,95,injective-protocol,inj,9.49,927314569.0,60513851.0
96,96,binance-bridged-usdc-bnb-smart-chain,usdc,1.0,899091259.0,32839956.0
97,97,the-graph,grt,0.091176,870307530.0,29095551.0
98,98,wbnb,wbnb,593.22,863980626.0,194541974.0
99,99,rocket-pool-eth,reth,2075.37,856213065.0,2292011.0
100,100,dexe,dexe,14.45,824986364.0,36798683.0
101,101,tether-gold,xaut,3257.25,802974955.0,16070761.0
